name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Khmelnitsky,2023-01-01,13.3,5.9,9.4,13.3,3.3,8.1,5.6,77.3,0,0,0,,0,0,33.1,18,234.6,1023.8,67,19.8,46.5,4,2,10,2023-01-01T08:08:08,2023-01-01T16:23:09,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33429099999,remote"
Khmelnitsky,2023-01-02,12.4,4.2,8.1,12.4,2.9,7.3,5.2,82.6,0,0,0,,0,0,13.7,14.4,206.4,1025.5,29,19.4,53.3,4.6,3,10,2023-01-02T08:08:05,2023-01-02T16:24:09,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33429099999,remote"
Khmelnitsky,2023-01-03,9.7,3.7,6.6,7.2,0.5,4.2,4,83.9,0,0,0,rain,0,0,40,28.8,281.6,1023.6,62,19.4,49.9,4.4,3,10,2023-01-03T08:07:58,2023-01-03T16:25:12,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33429099999,remote"
Khmelnitsky,2023-01-04,4.9,-0.9,1.6,2,-4.7,-1.8,-1.2,82.2,0,0,0,,0,0,31,21.6,270.5,1026.6,61.3,20.2,54,4.7,3,10,2023-01-04T08:07:49,2023-01-04T16:26:17,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33429099999,remote"
Khmelnitsky,2023-01-05,7.8,0.7,4.5,3.8,-3.9,0.4,1.6,81.8,1.1,100,8.33,rain,0,0,56.9,28.8,246.1,1009.1,97.5,20.6,8.8,0.7,1,10,2023-01-05T08:07:36,2023-01-05T16:27:25,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"33429099999,remote"
Khmelnitsky,2023-01-06,5.4,-1.6,1.2,1.2,-7.4,-3,-1.1,84.5,2.3,100,8.33,"rain,snow",0,0,53.6,36,315,1017.5,96.6,13.3,19.5,1.7,1,10,2023-01-06T08:07:21,2023-01-06T16:28:35,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"33429099999,remote"
Khmelnitsky,2023-01-07,-0.5,-2.3,-1.5,-1.6,-7.2,-5,-2.9,90.1,2,100,8.33,snow,2.2,1.3,29.2,14.4,143.3,1024.4,98.5,6.4,12.3,1.1,1,10,2023-01-07T08:07:02,2023-01-07T16:29:46,0.49,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"33429099999,remote"
Khmelnitsky,2023-01-08,-1.1,-4.3,-2.3,-4.8,-11.5,-7.9,-3.3,93.1,0,0,0,"freezingrain,snow",0,1.7,44.3,25.2,141,1024.8,100,6.5,26.8,2.3,1,10,2023-01-08T08:06:41,2023-01-08T16:31:00,0.53,Overcast,Cloudy skies throughout the day.,cloudy,"33429099999,remote"
Khmelnitsky,2023-01-09,4.2,-4.1,0,-0.3,-10.7,-5.3,-0.6,96.1,0.1,100,4.17,snow,0,1.4,47.2,25.2,150.6,1016.3,100,9.3,12.2,1.1,1,10,2023-01-09T08:06:16,2023-01-09T16:32:16,0.56,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,rain,"33429099999,remote"
Khmelnitsky,2023-01-10,4.3,-1.3,0.9,-0.3,-6,-4.3,-0.2,92,0.5,100,4.17,"rain,snow",1.2,0.4,51.5,36,130.2,1015.9,100,16.1,4.2,0.4,0,10,2023-01-10T08:05:48,2023-01-10T16:33:34,0.59,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"33429099999,remote"
Khmelnitsky,2023-01-11,-0.1,-4.8,-1.6,-4.5,-10.6,-6.6,-2.6,92.3,2,100,4.17,"rain,snow",0.5,0.9,34.6,21.6,137.9,1024.2,99.3,15.8,59,5.2,3,10,2023-01-11T08:05:18,2023-01-11T16:34:53,0.63,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"33429099999,remote"
Khmelnitsky,2023-01-12,0.3,-5.1,-2.5,-2.5,-10.6,-6.9,-3.2,94.2,0,0,0,,0,0.7,31,18,170.5,1023.2,99.9,16.4,49,4.2,3,10,2023-01-12T08:04:45,2023-01-12T16:36:14,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"33429099999,remote"
Khmelnitsky,2023-01-13,0.1,-3.1,-1.2,0.1,-7.9,-4,-1.3,96.7,0,0,0,,0,0.4,27.4,18,177.6,1021,86.6,15.7,25.3,2.1,2,10,2023-01-13T08:04:08,2023-01-13T16:37:37,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33429099999,remote"
Khmelnitsky,2023-01-14,0.9,-1.9,-0.4,0.9,-6.7,-1.3,-0.4,94.7,0,0,0,rain,0,0.1,21.8,14.4,202.5,1021.7,95.2,16.6,19.4,1.6,1,10,2023-01-14T08:03:29,2023-01-14T16:39:02,0.73,Overcast,Cloudy skies throughout the day.,cloudy,"33429099999,remote"
Khmelnitsky,2023-01-15,0.3,-1.8,-0.8,0.3,-7.8,-2.4,-0.5,92.4,0,0,0,,0,0.1,39.6,25.2,171,1017.9,35.6,16.3,64,5.5,3,10,2023-01-15T08:02:48,2023-01-15T16:40:28,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33429099999,remote"
Khmelnitsky,2023-01-16,1.7,-0.9,0,1.6,-4.8,-1.4,0,90.6,0,0,0,,0,0,39.1,28.1,159.6,1008.9,99.4,16.5,29.8,2.5,1,10,2023-01-16T08:02:03,2023-01-16T16:41:55,0.8,Overcast,Cloudy skies throughout the day.,cloudy,"33429099999,remote"
Khmelnitsky,2023-01-17,5.3,1.2,3.3,4.2,-2.9,0.8,2,88.9,0.1,100,4.17,rain,0,0,46.8,36,162.8,999.5,70.2,19.7,37.3,3.3,2,10,2023-01-17T08:01:16,2023-01-17T16:43:24,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"33429099999,remote"
